question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
What is Itralase 200 Capsule used for?,,Itralase 100 Capsule,,ఇట్రాలసే ౨౦౦ క్యాప్సూల్ దేనికి ఉపయోగిస్తారు?,,ఇట్రాలసే ౨౦౦ క్యాప్సూల్,,ইত্রালাসে ২০০ ক্যাপসুল কিসের জন্য ব্যবহৃত হয়?,,ইত্রালাসে ২০০,,इट्रालेस १०० कैप्सूल किसके लिए प्रयोग किया जाता है?,,इट्रालेस १०० कैप्सूल,,இட்ராலேஸ் 200 காப்ஸ்யூல் எதற்காகப் பயன்படுத்தப்படுகிறது?,,இட்ராலேஸ் 200 காப்ஸ்யூல்,,आयट्रलिस १०० कॅप्सूल कशासाठी वापरले जाते?,,आयट्रलिस  १०० कॅप्सूल,,ઇટ્રાલેઝ ૨૦૦ કેપ્સ્યુલ નો ઉપયોગ શું માટે થાય છે?,,ઇટ્રાલેઝ ૨૦૦ કેપ્સ્યુલ,,drug
Can the use of Jalra-M  50mg/1000mg Tablet lead to Vitamin B12 deficiency?,Vitamin B12 deficiency,Jalra-M 50mg/1000 mg Tablet,,జల్రా-మ్ ౫౦ మిగ్రా/౧౦౦౦ మిగ్రా మాత్ర యొక్క ఉపయోగం విటమిన్ బి౧౨ లోపానికి దారితీస్తుందా?,విటమిన్ బి౧౨,జల్రా-మ్ ౫౦ మిగ్రా/౧౦౦౦ మిగ్రా మాత్ర,,জলরা-এম ৫০ মিলিগ্রাম/ ১০০০ মিলিগ্রাম ট্যাবলেট ব্যবহার করলে ভিটামিন ব১২ এর অভাব হতে পারে কি?,ভিটামিন ব১২,জলরাএম ৫০ মিলিগ্রাম/ ১০০০ মিলিগ্রাম,,क्या जालरा-एम ५०एमजी/१० एमजी टैबलेट के इस्तेमाल से विटामिन बी12 की कमी हो सकती है?,विटामिन बी12 की कमी,जालरा-एम ५०एमजी/१० एमजी टैबलेट,,ஜல்ரா-எம் 50 எம்ஜி/1000 மி.கி மாத்திரையின் பயன்பாடு வைட்டமின் பி 12 குறைபாட்டிற்கு வழிவகுக்கும்?,வைட்டமின் பி 12 குறைபாட்டிற்கு,ஜல்ரா-எம் 50 எம்ஜி/1000 மி.கி மாத்திரையின்,,जलरा-एम ५० एमजी / १००० एमजी गोळी च्या वापरामुळे जीवनसत्व बी १२ ची कमतरता होऊ शकते का?,जीवनसत्व बी १२ ची कमतरता,जलरा-एम 	५० एमजी / १००० एमजी,,શું જલરા-એમ ૫૦ મિલિગ્રામ/૧૦૦૦ મિલિગ્રામ ટીકડી ના ઉપયોગથી વિટામિન બી૧૨ ની ઉણપ થઈ શકે છે?,વિટામિન બી૧૨ ની ઉણપ,જલરા-એમ ૫૦ મિલિગ્રામ/૧૦૦૦ મિલિગ્રામ ટીકડી,,drug
How long will it take to get my thyroid levels under control?,Thyroid levels,,,నా థైరాయిడ్ స్థాయిలను నియంత్రణలోకి తీసుకురావడానికి ఎంత సమయం పడుతుంది?,థైరాయిడ్ స్థాయి,,,আমার থাইরয়েডের মাত্রা নিয়ন্ত্রণে আনতে কতক্ষণ সময় লাগবে?,থাইরয়েডের মাত্রা,,,मेरे थायराइड के स्तर को नियंत्रण में आने में कितना समय लगेगा?,थायराइड,,,எனது தைராய்டு அளவைக் கட்டுப்படுத்த எவ்வளவு நேரம் ஆகும்?,தைராய்டு அளவைக்,,,माझी थायरॉईड पातळी नियंत्रणात येण्यासाठी किती वेळ लागेल?,थायरॉईड पातळी,,,મારા થાઇરોઇડના સ્તરને નિયંત્રણમાં લાવવામાં કેટલો સમય લાગશે?,થાઇરોઇડના સ્તર,,,other
What are the instructions for storage and disposal of Janumet XR CP Tablet?,,Genumet XR Cp Tablet,,జనుమేట్ ఎక్స్ఆర్  సిపి  మాత్ర నిల్వ మరియు పారవేయడం కోసం సూచనలు ఏమిటి?,,జనుమేట్ ఎక్స్ఆర్ సిపి,,জানুমেট এক্সআর সিপি ট্যাবলেটের রক্ষণ এবং নিষ্পত্তির জন্য নির্দেশাবলী কি?,,জানুমেট এক্সআর সিপি,,जेनुमेट एक्सआर सीपी टैबलेट के भंडारण और निपटान के लिए क्या निर्देश हैं?,,जेनुमेट एक्सआर सीपी टैबलेट,,ஜானுமெட் எக்ஸ்ஆர் சிபி மாத்திரையை சேமித்து அகற்றுவதற்கான வழிமுறைகள் யாவை?,,ஜானுமெட் எக்ஸ்ஆர் சிபி மாத்திரையை,,जान्युमेट  एक्सआर सीपी टॅब्लेट च्या साठवणेसाठी आणि विल्हेवाटीसाठी काय सूचना आहेत?,,जान्युमेट  एक्सआर सीपी गोळी,,જાનુમેટ એક્સઆર સીપી ટીકડી ના સંગ્રહ અને નિકાલ માટેની સૂચનાઓ શું છે?,,એક્સઆર સીપી ટીકડી,,drug
What does a fistula smell like?,fistula,,,ఫిస్టులా వాసన ఎలా ఉంటుంది?,ఫిస్టులా,,,ফিস্টুলার গন্ধ কেমন?,ফিস্টুলা,,,एक नालव्रण की गंध क्या है?,नासूर,,,ஒரு ஃபிஸ்துலா வாசனை எப்படி இருக்கும்?,ஃபிஸ்துலா,,,भगंदरचा वास कसा असतो?,भगंदर,,,ભગંદરની ગંધ કેવી હોય છે?,ભગંદર,,,disease
Can Dynapar Tablet be taken with Vitamin B-complex?,,"Dynapar Tablet, Vitamin B-complex",,దైనపర్ మాత్ర ను విటమిన్ బి-కాంప్లెక్స్ తో తీసుకోవచ్చా?,,"దైనపర్ మాత్ర, విటమిన్ బి-కాంప్లెక్స్",,ডিনাপার ট্যাবলেট কি ভিটামিন বি-কমপ্লেক্স দিয়ে নেওয়া যেতে পারে?,,"ডিনাপার ট্যাবলেট, ভিটামিন বি-কমপ্লেক্স",,क्या विटामिन बी-कॉम्प्लेक्स के साथ डायनापर टैबलेट (Dynapar Tablet) लिया जा सकता है?,,"डायनापर टैबलेट, विटामिन बी-कॉम्प्लेक्स",,வைட்டமின் பி-காம்ப்ளெக்ஸ் மூலம் டைனாபர் மாத்திரையை எடுக்க முடியுமா?,,"வைட்டமின் பி-காம்ப்ளெக்ஸ், டைனாபர் மாத்திரையை",,डायनापर गोळी जीवनसत्व बी-कॉम्प्लेक्ससह घेतले जाऊ शकते का?,,"डायनापर टॅब्लेट,बी-कॉम्प्लेक्स",,શું વિટામિન બી-કોમ્પ્લેક્સ સાથે ડાયનાપર ટીકડી લઈ શકાય?,,"ડાયનાપર ટીકડી, વિટામિન બી-કોમ્પ્લેક્સ",,drug
How long does it take for Vigora 50mg Tablet MD to work?,,Vigora 50mg Tablet MD,,విగోరా ౫౦ మిగ్రా మాత్ర ఎమ్డి పనిచేయడానికి ఎంత సమయం పడుతుంది?,,విగోరా ౫౦ మిగ్రా మాత్ర ఎమ్డి,,ভিগোরা ৫০ মিলিগ্রাম ট্যাবলেট এমডি কাজ করতে কতক্ষণ সময় লাগে?,,ভিগোরা ৫০ মিলিগ্রাম,,विगोरा ५०एमजी टैबलेट एमडी को काम करने में कितना समय लगता है?,,विगोरा ५०एमजी टैबलेट एमडी,,விகோரா 50 எம்ஜி டேப்லெட் எம்.டி வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,விகோரா 50 எம்ஜி டேப்லெட் எம்.டி,,विगोरा ५० एमजी गोळी ला काम करण्यासाठी किती वेळ लागेल?,,विगोरा  ५० एमजी टॅब्लेट,,વિગોરા ૫૦ મિલિગ્રામ ટીકડી એમડી ને કામ કરવામાં કેટલો સમય લાગે છે?,,વિગોરા ૫૦ મિલિગ્રામ ટીકડી એમડી,,drug
How long does it take for Power Vegra 100mg Tablet to work?,,Power Vegra 100mg Tablet,,పవర్ వెగ్రా ౧౦౦ మిగ్రా మాత్ర పనిచేయడానికి ఎంత సమయం పడుతుంది?,,పవర్ వెగ్రా ౧౦౦ మిగ్రా మాత్ర,,পাওয়ার ভেগ্রা ১০০ মিলিগ্রাম ট্যাবলেট কাজ করতে কতক্ষণ সময় লাগে?,,পাওয়ার ভেগ্রা ১০০ মিলিগ্রাম,,पावर वेग्रा १००एमजी टैबलेट को काम करने में कितना समय लगता है?,,पावर वेग्रा १००एमजी टैबलेट,,பவர் வெக்ரா 100 எம்ஜி மாத்திரை வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,பூஞ்சை தோல் தொற்று மாத்திரை,,पावर वेग्रा १०० मिलीग्राम गोळी साठी किती वेळ लागेल?,,पावर वेग्रा १०० मिलीग्राम गोळी,,પાવર વેગ્રા ૧૦૦ મિલિગ્રામ ટીકડી ને કામ કરવામાં કેટલો સમય લાગે છે?,,પાવર વેગ્રા ૧૦૦ મિલિગ્રામ ટીકડી,,drug
Does Human Actrapid 40IU/ml Solution for Injection need to be refrigerated?,,Human Ectrapid 40 IU/ml Solution for Injection,,ఇంజెక్షన్ కోసం మానవ ఆక్ట్రాపిడ్ ౪౦ ఐయూ/ఎమ్ఎల్ సొల్యూషన్‌ను ఫ్రిజ్‌లో ఉంచాలా?,,ఆక్ట్రాపిడ్ ౪౦ ఐయూ/ఎమ్ఎల్ సొల్యూషన్‌,,ইনজেকশনের জন্য হিউম্যান অ্যাক্ট্র্যাপিড ৪০আইইউ / এমএল সলিউশন কি হীমায়িত করা প্রয়োজন?,,হিউম্যান অ্যাক্ট্র্যাপিড ৪০আইইউ / এমএল সলিউশন,,क्या ह्यूमन एक्ट्रापिड ४० आईयू/एमएल सॉल्यूशन फॉर इंजेक्शन को रेफ्रिजरेट करने की जरूरत है?,,ह्यूमन एक्ट्रापिड ४० आईयू/एमएल सॉल्यूशन फॉर इंजेक्शन,,உட்செலுத்தலுக்கான மனித ஆக்ட்ராபிட் 40IU/ML கரைசலை குளிரூட்டப்பட வேண்டுமா?,,மனித ஆக்ட்ராபிட் 40IU/ML கரைசலை,,ह्युमन ऍक्ट्रॅपिड ४०IU/ml इंजेक्शनच्या सोल्यूशनला  रेफ्रिजरेटेड करणे आवश्यक आहे का?,,इंजेक्शनसाठी ह्युमन इक्ट्रॅपिड ४०  IU/ml सोल्यूशन,,શું ઈન્જેક્શન માટે હ્યુમન એક્ટ્રાપીડ ૪૦ આઈયુ/મિલી સોલ્યુશનને રેફ્રિજરેટેડ કરવાની જરૂર છે?,,હ્યુમન એક્ટ્રાપીડ ૪૦ આઈયુ/મિલી સોલ્યુશન,,drug
What should I know about the storage and disposal of Neurobion RF Forte Injection?,,Neurobion RF Fort Injection,,న్యూరోబియన్ ఆర్ఎఫ్ ఫోర్టే ఇంజెక్షన్  నిల్వ మరియు పారవేయడం గురించి నేను ఏమి తెలుసుకోవాలి?,,న్యూరోబియన్ ఆర్ఎఫ్ ఫోర్టే ఇంజెక్షన్,,নিউরোবিওন আরএফ ফর্টে ইঞ্জেকশনের সংরক্ষণ এবং নিষ্পত্তি সম্পর্কে আমার কী জানা উচিত?,,নিউরোবিওন আরএফ ফর্টে ইঞ্জেকশন,,मुझे न्यूरोबियन आरएफ फोर्ट इंजेक्शन के भंडारण और निपटान के बारे में क्या पता होना चाहिए?,,न्यूरोबियन आरएफ फोर्ट इंजेक्श,,நியூரோபியன் ஆர்.எஃப் ஃபோர்டே ஊசி போடுவது பற்றி நான் என்ன தெரிந்து கொள்ள வேண்டும்?,,நியூரோபியன் ஆர்.எஃப் ஃபோர்டே ஊசி,,न्यूरोबियन आरएफ फोर्टे इंजेक्शनच्या साठवणेसाठी आणि विल्हेवाटबद्दल मला काय माहित असावे?,,न्यूरोबियन आरएफ फोर्टे इंजेक्शन,,ન્યુરોબિયન આરએફ ફોર્ટ ઇન્જેક્શન ના સંગ્રહ અને નિકાલ વિશે મારે શું જાણવું જોઈએ?,,ન્યુરોબિયન આરએફ ફોર્ટ ઇન્જેક્શન,,drug
