question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
what is nystatin prescribed for?,,nystatin,,निस्टेटिन किस लिए निर्धारित किया गया है?,,निस्टेटिन,,নিস্টাটিন কি জন্য নির্ধারিত হয়?,,নিস্টাটিন,,நிஸ்டாடின் எதற்காக பரிந்துரைக்கப்படுகிறது?,,நிஸ்டாடின்,,నిస్టాటిన్ దేని కొరకు సిఫారసు చేయబడుతుంది?,,నిస్టాటిన్,,नायस्टाटिन कशासाठी लिहून दिले जाते?,,नायस्टाटिन,,નિસ્ટાટિન શું માટે સૂચવવામાં આવે છે?,,નિસ્ટાટિન,,drug
can douching after sex stop me from getting pregnant?,pregnant,,,क्या सम्भोग के बाद डाउचिंग मुझे गर्भवती होने से रोक सकता हैं?,गर्भवती,,,সেক্সের পরে ডাউচিং কি আমাকে গর্ভবতী হওয়া থেকে বিরত রাখতে পারে?,গর্ভবতী,,,உடலுறவுக்குப் பிறகு டச்சிங் செய்வதால் நான் கர்ப்பமாவதைத் தடுக்க முடியுமா?,கர்ப்பமாவதைத்,,,రతి తరువాత పిచికారీ చేయడం నన్ను గర్భవతిని చేయకుండా ఆపగలదా?,గర్భవతి,,,सेक्स नंतर डोचिंग केल्याने मला गरोदर होण्यापासून थांबता येते का?,,,,શું સેક્સ પછી ડચિંગ મને ગર્ભવતી થવાથી રોકી શકે છે?,,,,other
does percocet cause weight gain,weight gain,percocet,,क्या पेर्कोसेट वजन बढ़ने का कारण बनता है,भार बढ़ना,पर्कोसेट,,পার্কোসেট ওজন বৃদ্ধির কারণ,ওজন বৃদ্ধির,পার্কোসেট,,பெர்கோசெட் எடை அதிகரிப்பை ஏற்படுத்துமா?,எடை அதிகரிப்பை,பெர்கோசெட்,,పెర్కోసెట్ బరువు పెరగడానికి కారణమవుతుందా,బరువు పెరగడం,పెర్కోసెట్,,परकोसेटमुळे वजन वाढते,,परकोसेटमुळे,,શું પરકોસેટ વજનમાં વધારો કરે છે?,વજન વધારો,પરકોસેટ,,drug
does 2 or 2 1/2 glasses of wine a day caues high blood preasure?,high blood pressure,,,क्या एक दिन में शराब के २ या २ १/२ गिलास उच्च रक्तचाप करता है?,उच्च रक्तचाप,,,দিনে ২ বা ২ ১/২ গ্লাস ওয়াইন কি উচ্চ রক্তচাপের কারণ হতে পারে?,উচ্চ রক্তচাপ,,,ஒரு நாளைக்கு 2 அல்லது 2 1/2 டம்ளர் ஒயின் அதிக இரத்த அழுத்தத்தை ஏற்படுத்துகிறதா?,அதிக இரத்த அழுத்தத்தை,,,రోజుకు ౨ లేదా ౨ ౧/౨ గ్లాసుల మందు  అధిక రక్తపోటుని  కలిగిస్తుందా?,అధిక రక్తపోటు,,,दिवसातून दिवसातून २ किंवा २ १ /२ ग्लास वाइन केल्याने उच्च रक्तप्रवाह होतो का?,उच्च रक्तप्रवाह,,,શું દિવસમાં ૨ અથવા ૨ ૧/૨ ગ્લાસ વાઇન હાઈ બ્લડ પ્રીઝરનું કારણ બને છે?,હાઈ બ્લડ પ્રેશર,,,disease
can too much buttermilk cause thrush?,thrush,,,क्या बहुत अधिक छाछ थ्रश का कारण बन सकती है?,थ्रश,,,অত্যধিক বাটারমিল্ক কি থ্রাশের কারণ হতে পারে?,থ্রাশ,,,அதிகப்படியான மோர் த்ரஷை ஏற்படுத்த முடியுமா?,த்ரஷை,,,ఎక్కువ మజ్జిగ థ్రష్ కు కారణమవుతుందా?,థ్రష్,,,जास्त ताक थ्रश होऊ शकते?,थ्रश,,,શું વધુ પડતી છાશ થ્રશનું કારણ બની શકે છે?,થ્રશ,,,disease
i still don't understand the procedure of getting health insurance. is there an easier method?,,,,मैं अभी भी स्वास्थ्य बीमा प्राप्त करने की प्रक्रिया को समझ नहीं पाता । क्या कोई आसान तरीका है?,,,,আমি এখনও স্বাস্থ্য বীমার পদ্ধতি বুঝতে পারি না। এর চেয়ে সহজ কোন পদ্ধতি আছে কি?,,,,சுகாதார காப்பீட்டைப் பெறுவதற்கான நடைமுறை எனக்கு இன்னும் புரியவில்லை. எளிதான முறை உள்ளதா?,,,,ఆరోగ్య బీమా పొందే విధానం నాకు ఇంకా అర్థం కాలేదు. ఏదైనా సులభమైన పద్ధతి ఉన్నదా?,,,,मला अजूनही आरोग्य विमा काढण्याची प्रक्रिया समजलेली नाही. एक सोपी पद्धत आहे का?,,,,હું હજુ પણ સ્વાસ્થ્ય વીમો મેળવવાની પ્રક્રિયા સમજી શકતો નથી. શું કોઈ સરળ પદ્ધતિ છે?,,,,other
is it safe to take emergen-c while pregnant?,,emergen-c,,क्या गर्भवती होने पर एमर्जेन-सी लेना सुरक्षित है?,,एमर्जेन-सी,,গর্ভবতী থাকাকালীন ইমার্জেন-সি গ্রহণ করা কি নিরাপদ?,,ইমার্জেন-সি,,கர்ப்பமாக இருக்கும்போது எமர்ஜென்-சி எடுப்பது பாதுகாப்பானதா?,,எமர்ஜென்-சி,,గర్భవతిగా ఉన్నప్పుడు ఎమర్జెన్-సి తీసుకోవడం సురక్షితమేనా?,,ఎమర్జెన్-సి,,गर्भावस्थेत इमरजेन-सी   घेणे सुरक्षित आहे का?,,इमरजेन-सी  ,,શું ગર્ભાવસ્થા દરમિયાન ઇમર્જન-સી લેવું સુરક્ષિત છે?,,ઇમર્જન-સી,,drug
how can i protect my skin from dryness this winter?,dryness,,,मैं इस सर्दी में अपनी त्वचा को रूखेपन से कैसे बचा सकता हूँ?,शुष्कता,,,এই শীতে আমি কীভাবে আমার ত্বককে শুষ্কতা থেকে রক্ষা করতে পারি?,ত্বক শুষ্কতা,,,இந்த குளிர்காலத்தில் என் தோலை வறட்சியிலிருந்து எவ்வாறு பாதுகாக்க முடியும்?,தோலை வறட்சி,,,ఈ శీతాకాలంలో నా చర్మాన్ని పొడిబారకుండా ఎలా కాపాడుకోవాలి?,పొడిబారకుండా,,,या हिवाळ्यात मी माझ्या त्वचेला कोरडेपणापासून कसे वाचवू शकतो?,कोरडेपणा,,,હું આ શિયાળામાં મારી ત્વચાને શુષ્કતાથી કેવી રીતે સુરક્ષિત કરી શકું?,શુષ્કતા,,,treatment plan
is there a cream that can fix wrinkles on your penis head glans when flaccid?,"wrinkles, flaccid",,,क्या कोई ऐसा क्रीम हैं जो लिंग के सिर पर झुर्रिया को ठीक करदे दे जब वह कोमल और दुर्बल हो जाये?,"झुर्रियाँ, ढीलापन",,,এমন কোনও ক্রিম আছে যা বীর্যহীন থাকাকালীন আপনার লিঙ্গের গ্লান্সের উপর কোঁচকানো চামড়া ঠিক করতে পারে?,"কোঁচকানো চামড়া, লিঙ্গের গ্লান্সের",,,உங்கள் ஆண்குறி தலை சுரப்பி மந்தமாக இருக்கும்போது சுருக்கங்களை சரிசெய்யக்கூடிய கிரீம் இருக்கிறதா?,"சுருக்கங்களை , மந்தமாக",,,మసకబారినపుడు మీ పురుషాంగం తలపై ముడుతలను సరిచేయగల క్రీమ్ ఏదైనా ఉందా?,"ముడుతలు, మసకబారినపుడు",,,तुमच्या पुरुषाचे जननेंद्रिय हेडकांडावरील सुरकुत्या दूर करू शकणारे क्रीम आहे का?,सुरकुत्या,,,શું એવી કોઈ ક્રીમ છે કે જે તમારા શિશ્નના માથા પરની કરચલીઓ જ્યારે લપસી જાય ત્યારે ઠીક કરી શકે?,"કરચલીઓ, ફ્લેક્સિડ",,,disease
can yeast infection cause back pain in lower right?,"yeast infection, back pain",,,क्या यीस्ट इन्फेक्शन के कारण कमर के निचले हिस्से में दर्द हो सकता है?,"खमीर संक्रमण, पीठ दर्द",,,খামিরের সংক্রমণ কি নীচের ডানদিকে পিঠেব্যথার কারণ হতে পারে?,"খামিরের সংক্রমণ, পিঠেব্যথা",,,ஈஸ்ட் தொற்று கீழ் வலதுபுறத்தில் முதுகுவலியை ஏற்படுத்துமா?,"ஈஸ்ட் தொற்று, முதுகுவலியை",,,ఈస్ట్ సంక్రామ్యత కుడి దిగువ భాగంలో వెన్నునొప్పిని కలిగిస్తుందా?,"ఈస్ట్ సంక్రామ్యత, వెన్నునొప్పి",,,यीस्ट संसर्गामुळे उजव्या खालच्या भागात पाठदुखी होऊ शकते का?,"यीस्ट संसर्गामुळे,पाठदुखी",,,શું યીસ્ટના ચેપથી જમણા નીચેના ભાગમાં પીઠનો દુખાવો થઈ શકે છે?,"આથો ચેપ, પીઠનો દુખાવો",,,disease
